title,author,date,views,likes,link,categoria,grupo
Do schools kill creativity?,Sir Ken Robinson,February 2006,72000000,2100000,https://ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,1,1
Your body language may shape who you are,Amy Cuddy,June 2012,64000000,1900000,https://ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are,1,2
Inside the mind of a master procrastinator,Tim Urban,February 2016,60000000,1800000,https://ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator,1,3
How great leaders inspire action,Simon Sinek,September 2009,57000000,1700000,https://ted.com/talks/simon_sinek_how_great_leaders_inspire_action,1,4
The power of vulnerability,Brené Brown,June 2010,56000000,1700000,https://ted.com/talks/brene_brown_the_power_of_vulnerability,1,5
How to speak so that people want to listen,Julian Treasure,June 2013,49000000,1400000,https://ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen,1,6
The next outbreak? We're not ready,Bill Gates,March 2015,43000000,1300000,https://ted.com/talks/bill_gates_the_next_outbreak_we_re_not_ready,1,7
My philosophy for a happy life,Sam Berns,October 2013,43000000,1300000,https://ted.com/talks/sam_berns_my_philosophy_for_a_happy_life,1,8
What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,November 2015,41000000,1200000,https://ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness,1,9
Why people believe they can't draw,Graham Shaw,February 2015,37000000,1100000,https://ted.com/talks/graham_shaw_why_people_believe_they_can_t_draw,1,10
"Looks aren't everything. Believe me, I'm a model.",Cameron Russell,October 2012,38000000,1100000,https://ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,1,11
10 things you didn't know about orgasm,Mary Roach,February 2009,37000000,1100000,https://ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm,1,12
The orchestra in my mouth,Tom Thum,May 2013,34000000,1000000,https://ted.com/talks/tom_thum_the_orchestra_in_my_mouth,1,13
How to spot a liar,Pamela Meyer,July 2011,31000000,953000,https://ted.com/talks/pamela_meyer_how_to_spot_a_liar,1,14
The art of misdirection,Apollo Robbins,June 2013,31000000,933000,https://ted.com/talks/apollo_robbins_the_art_of_misdirection,1,15
The power of introverts,Susan Cain,February 2012,30000000,915000,https://ted.com/talks/susan_cain_the_power_of_introverts,1,16
The danger of a single story,Chimamanda Ngozi Adichie,July 2009,30000000,909000,https://ted.com/talks/chimamanda_ngozi_adichie_the_danger_of_a_single_story,1,17
How I held my breath for 17 minutes,David Blaine,October 2009,28000000,857000,https://ted.com/talks/david_blaine_how_i_held_my_breath_for_17_minutes,1,18
How to make stress your friend,Kelly McGonigal,June 2013,28000000,855000,https://ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend,1,19
How to stop screwing yourself over,Mel Robbins,June 2011,28000000,855000,https://ted.com/talks/mel_robbins_how_to_stop_screwing_yourself_over,1,20
The future we're building — and boring,Elon Musk,April 2017,28000000,849000,https://ted.com/talks/elon_musk_the_future_we_re_building_and_boring,1,21
My stroke of insight,Jill Bolte Taylor,February 2008,28000000,844000,https://ted.com/talks/jill_bolte_taylor_my_stroke_of_insight,1,22
The puzzle of motivation,Dan Pink,July 2009,28000000,843000,https://ted.com/talks/dan_pink_the_puzzle_of_motivation,1,23
Strange answers to the psychopath test,Jon Ronson,March 2012,27000000,838000,https://ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test,1,24
10 ways to have a better conversation,Celeste Headlee,May 2015,26000000,789000,https://ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation,1,25
Questions no one knows the answers to,Chris Anderson (TED),March 2012,26000000,782000,https://ted.com/talks/chris_anderson_ted_questions_no_one_knows_the_answers_to,1,26
Grit: The power of passion and perseverance,Angela Lee Duckworth,April 2013,25000000,773000,https://ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,1,27
The happy secret to better work,Shawn Achor,May 2011,24000000,732000,https://ted.com/talks/shawn_achor_the_happy_secret_to_better_work,1,28
Can you solve the prisoner hat riddle?,Alex Gendler,October 2015,24000000,723000,https://ted.com/talks/alex_gendler_can_you_solve_the_prisoner_hat_riddle,1,29
My escape from North Korea,Hyeonseo Lee,February 2013,23000000,690000,https://ted.com/talks/hyeonseo_lee_my_escape_from_north_korea,1,30
The Infinite Hotel Paradox,Jeff Dekofsky,January 2014,22000000,671000,https://ted.com/talks/jeff_dekofsky_the_infinite_hotel_paradox,1,31
What are those floaty things in your eye?,Michael Mauser,December 2014,21000000,642000,https://ted.com/talks/michael_mauser_what_are_those_floaty_things_in_your_eye,1,32
Your elusive creative genius,Elizabeth Gilbert,February 2009,20000000,619000,https://ted.com/talks/elizabeth_gilbert_your_elusive_creative_genius,1,33
The price of shame,Monica Lewinsky,March 2015,20000000,617000,https://ted.com/talks/monica_lewinsky_the_price_of_shame,1,34
What is depression?,Helen M. Farrell,December 2015,20000000,604000,https://ted.com/talks/helen_m_farrell_what_is_depression,1,35
The surprising science of happiness,Dan Gilbert,February 2004,19000000,598000,https://ted.com/talks/dan_gilbert_the_surprising_science_of_happiness,1,36
Can you solve the bridge riddle?,Alex Gendler,September 2015,19000000,590000,https://ted.com/talks/alex_gendler_can_you_solve_the_bridge_riddle,1,37
The surprising habits of original thinkers,Adam Grant,February 2016,19000000,588000,https://ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers,1,38
"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",Maz Jobrani,April 2012,19000000,583000,https://ted.com/talks/maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar,1,39
The thrilling potential of SixthSense technology,Pranav Mistry,November 2009,19000000,577000,https://ted.com/talks/pranav_mistry_the_thrilling_potential_of_sixthsense_technology,1,40
The secret to desire in a long-term relationship,Esther Perel,February 2013,19000000,577000,https://ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship,1,41
Rethinking infidelity ... a talk for anyone who has ever loved,Esther Perel,March 2015,19000000,575000,https://ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved,1,42
What makes you special?,Mariana Atencio,April 2017,18000000,569000,https://ted.com/talks/mariana_atencio_what_makes_you_special,1,43
How to stay calm when you know you'll be stressed,Daniel Levitin,September 2015,18000000,568000,https://ted.com/talks/daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed,1,44
Everything you think you know about addiction is wrong,Johann Hari,June 2015,18000000,567000,https://ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong,1,45
Brain magic,Keith Barry,February 2004,18000000,559000,https://ted.com/talks/keith_barry_brain_magic,1,46
The language of lying,Noah Zandan,November 2014,18000000,543000,https://ted.com/talks/noah_zandan_the_language_of_lying,1,47
What would happen if you didn't drink water?,Mia Nacamulli,March 2016,17000000,533000,https://ted.com/talks/mia_nacamulli_what_would_happen_if_you_didn_t_drink_water,1,48
A simple way to break a bad habit,Judson Brewer,November 2015,17000000,526000,https://ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit,1,49
How language shapes the way we think,Lera Boroditsky,November 2017,16000000,507000,https://ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think,1,50
Listening to shame,Brené Brown,March 2012,16000000,504000,https://ted.com/talks/brene_brown_listening_to_shame,1,51
The paradox of choice,Barry Schwartz,July 2005,16000000,501000,https://ted.com/talks/barry_schwartz_the_paradox_of_choice,1,52
What makes muscles grow?,Jeffrey Siegel,November 2015,16000000,501000,https://ted.com/talks/jeffrey_siegel_what_makes_muscles_grow,1,53
Why good leaders make you feel safe,Simon Sinek,March 2014,16000000,490000,https://ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,1,54
Underwater astonishments,David Gallo,March 2007,16000000,490000,https://ted.com/talks/david_gallo_underwater_astonishments,1,55
"The new bionics that let us run, climb and dance",Hugh Herr,March 2014,16000000,489000,https://ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance,1,56
8 secrets of success,Richard St. John,February 2005,15000000,479000,https://ted.com/talks/richard_st_john_8_secrets_of_success,1,57
"Who are you, really? The puzzle of personality",Brian Little,February 2016,15000000,465000,https://ted.com/talks/brian_little_who_are_you_really_the_puzzle_of_personality,1,58
My journey to yo-yo mastery,BLACK,February 2013,15000000,462000,https://ted.com/talks/black_my_journey_to_yo_yo_mastery,1,59
The transformative power of classical music,Benjamin Zander,February 2008,15000000,462000,https://ted.com/talks/benjamin_zander_the_transformative_power_of_classical_music,1,60
If I should have a daughter ...,Sarah Kay,March 2011,15000000,461000,https://ted.com/talks/sarah_kay_if_i_should_have_a_daughter,1,61
The best stats you've ever seen,Hans Rosling,February 2006,15000000,458000,https://ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen,1,62
Sleep is your superpower,Matt Walker,April 2019,15000000,450000,https://ted.com/talks/matt_walker_sleep_is_your_superpower,1,63
What really matters at the end of life,BJ Miller,March 2015,14000000,442000,https://ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life,1,64
How do cigarettes affect the body?,Krishna Sudhir,September 2018,14000000,435000,https://ted.com/talks/krishna_sudhir_how_do_cigarettes_affect_the_body,1,65
Why don't perpetual motion machines ever work?,Netta Schramm,June 2017,14000000,430000,https://ted.com/talks/netta_schramm_why_don_t_perpetual_motion_machines_ever_work,1,66
The brain-changing benefits of exercise,Wendy Suzuki,November 2017,14000000,426000,https://ted.com/talks/wendy_suzuki_the_brain_changing_benefits_of_exercise,1,67
Try something new for 30 days,Matt Cutts,March 2011,14000000,425000,https://ted.com/talks/matt_cutts_try_something_new_for_30_days,1,68
The astounding athletic power of quadcopters,Raffaello D'Andrea,June 2013,14000000,421000,https://ted.com/talks/raffaello_d_andrea_the_astounding_athletic_power_of_quadcopters,1,69
