title,author,date,views,likes,link,categoria
The mind-bending art of deep time,Katie Paterson,December 2021,817000,24000,https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time,medios
 A different understanding of American patriotism,Deval Patrick,July 2021,700000,21000,https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism,medios
Which animal has the best eyesight?,Thomas W. Cronin,January 2022,743000,22000,https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight,medios
Are brain waves the secret to treating Alzheimer's?,Li-Huei Tsai,August 2021,766000,23000,https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s,medios
What if women built the world they want to see?,Emily Pilloton-Lam,December 2021,789000,23000,https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see,medios
How to fix broken supply chains,Dustin Burke,September 2021,800000,24000,https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains,medios
What you need to know about carbon removal,Gabrielle Walker,October 2021,732000,21000,https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal,medios
How radical hospitality can change the lives of the formerly incarcerated,Reuben Jonathan Miller,November 2021,751000,22000,https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated,medios
The tragic myth of the Sun God's son,Iseult Gillespie,January 2022,998000,29000,https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son,medios
"The unexpected, underwater plant fighting climate change",Carlos M. Duarte,August 2021,786000,23000,https://ted.com/talks/carlos_m_duarte_the_unexpected_underwater_plant_fighting_climate_change,medios
How to break down barriers and not accept limits,Candace Parker,December 2021,1000000,32000,https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits,medios
Why great leaders take humor seriously,Jennifer Aaker and Naomi Bagdonas,August 2021,1000000,32000,https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously,medios
How comic strips create better health care,Sam Hester,June 2021,880000,26000,https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care,medios
Why is it so hard to escape poverty?,Ann-Helén Bay,January 2022,1500000,47000,https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty,medios
How to realistically decarbonize the oil and gas industry,Bjørn Otto Sverdrup,October 2021,825000,24000,https://ted.com/talks/bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry,medios
How biochar removes CO2 from the air — and helps farmers thrive,Axel Reinaud,September 2021,888000,26000,https://ted.com/talks/axel_reinaud_how_biochar_removes_co2_from_the_air_and_helps_farmers_thrive,medios
"The creativity, innovation and ingenuity languishing in US prisons",Brittany K. Barnett,November 2021,839000,25000,https://ted.com/talks/brittany_k_barnett_the_creativity_innovation_and_ingenuity_languishing_in_us_prisons,medios
The architectural mastermind behind modern Singapore,Liu Thai Ker,March 2021,951000,28000,https://ted.com/talks/liu_thai_ker_the_architectural_mastermind_behind_modern_singapore,medios
The myth of Loki's monstrous children,Iseult Gillespie,January 2022,761000,22000,https://ted.com/talks/iseult_gillespie_the_myth_of_loki_s_monstrous_children,medios
"What makes a job ""good"" — and the case for investing in people",Warren Valdmanis,September 2021,992000,29000,https://ted.com/talks/warren_valdmanis_what_makes_a_job_good_and_the_case_for_investing_in_people,medios
Language shouldn't be a barrier to climate action,Sophia Kianni,October 2021,861000,25000,https://ted.com/talks/sophia_kianni_language_shouldn_t_be_a_barrier_to_climate_action,medios
Why is the Mona Lisa so famous?,Noah Charney,January 2022,1100000,33000,https://ted.com/talks/noah_charney_why_is_the_mona_lisa_so_famous,medios
How moms shape the world,Anna Malaika Tubbs,December 2021,864000,25000,https://ted.com/talks/anna_malaika_tubbs_how_moms_shape_the_world,medios
Why a free and fair internet is more vital than ever,Priscilla Chomba-Kinywa,April 2021,1100000,33000,https://ted.com/talks/priscilla_chomba_kinywa_why_a_free_and_fair_internet_is_more_vital_than_ever,medios
"Blood, concrete, and dynamite: Building the Hoover Dam",Alex Gendler,December 2021,724000,21000,https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam,medios
You can only save one— who do you choose?,Doug MacKay,December 2021,1300000,40000,https://ted.com/talks/doug_mackay_you_can_only_save_one_who_do_you_choose,medios
How to escape the cynicism trap,Jamil Zaki,August 2021,1100000,33000,https://ted.com/talks/jamil_zaki_how_to_escape_the_cynicism_trap,medios
"Use your voice, vote and wallet for climate action",Halla Tómasdóttir,December 2021,969000,29000,https://ted.com/talks/halla_tomasdottir_use_your_voice_vote_and_wallet_for_climate_action,medios
A king cobra bite — and a scientific discovery,Gowri Shankar,May 2021,1000000,30000,https://ted.com/talks/gowri_shankar_a_king_cobra_bite_and_a_scientific_discovery,medios
How we could better predict and stop floods,Virginia Smith,March 2021,986000,29000,https://ted.com/talks/virginia_smith_how_we_could_better_predict_and_stop_floods,medios
Dreams and details for a decarbonized future,Jim Hagemann Snabe,October 2021,837000,25000,https://ted.com/talks/jim_hagemann_snabe_dreams_and_details_for_a_decarbonized_future,medios
"Siri, Alexa, Google ... what comes next?",Karen Lellouche Tordjman,September 2021,1000000,32000,https://ted.com/talks/karen_lellouche_tordjman_siri_alexa_google_what_comes_next,medios
A new way to help young people with their mental health,Tom Osborn,August 2021,1000000,32000,https://ted.com/talks/tom_osborn_a_new_way_to_help_young_people_with_their_mental_health,medios
Would you raise the bird that murdered your children?,Steve Rothstein,December 2021,1200000,37000,https://ted.com/talks/steve_rothstein_would_you_raise_the_bird_that_murdered_your_children,medios
A vision of sustainable housing for all of humanity,Vishaan Chakrabarti,October 2021,1000000,30000,https://ted.com/talks/vishaan_chakrabarti_a_vision_of_sustainable_housing_for_all_of_humanity,medios
3 ways to prepare society for the next pandemic,Jennifer B. Nuzzo,December 2021,1100000,33000,https://ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic,medios
The need for family reunification — to make families whole again,Elizabeth Zion,December 2021,1000000,31000,https://ted.com/talks/elizabeth_zion_the_need_for_family_reunification_to_make_families_whole_again,medios
Education is a fundamental right for every child,Makhtoum Abdalla,December 2021,1000000,32000,https://ted.com/talks/makhtoum_abdalla_education_is_a_fundamental_right_for_every_child,medios
The life-changing power of assistive technologies,Jane Velkovski,December 2021,1000000,31000,https://ted.com/talks/jane_velkovski_the_life_changing_power_of_assistive_technologies,medios
How to protect your mental well-being online — from a Gen-Zer,Peachy Liv,December 2021,981000,29000,https://ted.com/talks/peachy_liv_how_to_protect_your_mental_well_being_online_from_a_gen_zer,medios
3 ways to lower the barriers to higher education,Adrian K. Haugabrook,August 2021,1100000,34000,https://ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education,medios
How going to Mars improves life on Earth,Eric Hinterman,May 2021,1000000,32000,https://ted.com/talks/eric_hinterman_how_going_to_mars_improves_life_on_earth,medios
The end of Roe v. Wade — and what comes next for reproductive freedom,Kathryn Kolbert,December 2021,1000000,32000,https://ted.com/talks/kathryn_kolbert_the_end_of_roe_v_wade_and_what_comes_next_for_reproductive_freedom,medios
