,lower_limit,upper_limit,limits
pausa_anterior,0.0,2.689999999999827,"(np.float64(0.0), np.float64(0.008694773143457367))"
rms_mean,4.0805705793900415e-05,0.2600311040878296,"(np.float64(0.0), np.float64(0.0003230184329655416))"
zcr_mean,0.00015063996010638298,0.3543958162006579,"(np.float64(0.0), np.float64(0.0009074726480075108))"
pmm,0.5772561092938234,529.4117647057737,"(np.float64(0.0), np.float64(0.0003509049163870272))"
yaw,-137.0538882050419,141.17394481738523,"(np.float64(3.1811602600371286e-05), np.float64(3.1811602600371286e-05))"
pitch,24.55922508695447,151.8733241810304,"(np.float64(0.0010338770845120667), np.float64(0.0014019827717449346))"
roll,-28.94031122807474,26.526361764546234,"(np.float64(0.004349100526936474), np.float64(0.004242304432492371))"
boca_abierta,0.0,0.8765421440557577,"(np.float64(0.0), np.float64(0.0))"
sonrisa,0.008697571406639381,183868.39684614862,"(np.float64(0.0), np.float64(0.0))"
ceño_fruncido,0.00040161046844086395,1.5933958939592074,"(np.float64(0.0), np.float64(0.0))"
ojos_abiertos,0.00025675377741082964,0.254425904731155,"(np.float64(0.0), np.float64(0.0001613302703304544))"
asimetria_labios,0.0,0.3899479806423187,"(np.float64(0.0), np.float64(0.0))"
tension_facial,0.0,3.0,"(np.float64(0.0), np.float64(0.0))"
apertura_brazos,0.17044012710813813,179.84584959250046,"(np.float64(0.0), np.float64(0.0))"
inclinacion_torso,0.0216433690371306,179.97015384829814,"(np.float64(0.0), np.float64(0.0))"
